"","Coor.1","Coor.2","Peak","MeasB.1","MeasB.2","MeasB.3","MeasB.4"
"1",138,23,34644,16,131,31,146
"2",159,45,10358,38,152,53,167
"3",185,29,5451,22,178,37,193
"4",213,1003,16729,996,206,1011,221
"5",340,34,6649,27,333,42,348
"6",718,869,4186,862,711,877,726
"7",723,1164,2275,1157,716,1172,731
"8",735,1612,38620,1605,728,1620,743
"9",778,1284,1061,1277,771,1292,786
"10",779,1334,46944,1327,772,1342,787
"11",790,1791,1506,1784,783,1799,798
"12",793,66,29097,59,786,74,801
"13",793,1359,2372,1352,786,1367,801
"14",794,850,5623,843,787,858,802
"15",808,1376,8041,1369,801,1384,816
"16",878,966,3196,959,871,974,886
"17",889,1148,16069,1141,882,1156,897
"18",896,1723,2209,1716,889,1731,904
"19",902,1605,3774,1598,895,1613,910
"20",903,1294,54615,1287,896,1302,911
"21",909,1554,4139,1547,902,1562,917
"22",914,1015,1424,1008,907,1023,922
"23",923,1082,1015,1075,916,1090,931
"24",929,1146,13820,1139,922,1154,937
"25",933,1418,1737,1411,926,1426,941
"26",947,884,3340,877,940,892,955
"27",950,1549,3324,1542,943,1557,958
"28",955,1014,7440,1007,948,1022,963
"29",996,1178,2512,1171,989,1186,1004
"30",1009,1031,14249,1024,1002,1039,1017
"31",1015,983,30604,976,1008,991,1023
"32",1015,1095,15056,1088,1008,1103,1023
"33",1024,372,28568,365,1017,380,1032
"34",1026,1767,2311,1760,1019,1775,1034
"35",1030,1002,1439,995,1023,1010,1038
"36",1036,953,2280,946,1029,961,1044
"37",1051,1299,3181,1292,1044,1307,1059
"38",1052,1565,1124,1558,1045,1573,1060
"39",1069,1642,3461,1635,1062,1650,1077
"40",1082,1018,52797,1011,1075,1026,1090
"41",1088,1082,4854,1075,1081,1090,1096
"42",1091,1671,1251,1664,1084,1679,1099
"43",1102,988,4168,981,1095,996,1110
"44",1120,1232,18454,1225,1113,1240,1128
"45",1137,781,2692,774,1130,789,1145
"46",1144,927,3839,920,1137,935,1152
"47",1145,1415,3778,1408,1138,1423,1153
"48",1147,1932,1858,1925,1140,1940,1155
"49",1168,1770,1844,1763,1161,1778,1176
"50",1178,915,3258,908,1171,923,1186
"51",1180,1306,173998,1299,1173,1314,1188
"52",1200,1484,6800,1477,1193,1492,1208
"53",1211,1190,2946,1183,1204,1198,1219
"54",1213,902,1384,895,1206,910,1221
"55",1226,922,1916,915,1219,930,1234
"56",1228,1254,1048575,1247,1221,1262,1236
"57",1248,1389,12813,1382,1241,1397,1256
"58",1260,908,10094,901,1253,916,1268
"59",1264,1612,627,1605,1257,1620,1272
"60",1267,1563,12059,1556,1260,1571,1275
"61",1273,927,3898,920,1266,935,1281
"62",1276,316,43306,309,1269,324,1284
"63",1310,684,1801,677,1303,692,1318
"64",1314,851,6886,844,1307,859,1322
"65",1320,786,2408,779,1313,794,1328
"66",1321,1629,15175,1622,1314,1637,1329
"67",1323,1579,1374,1572,1316,1587,1331
"68",1325,1530,5244,1523,1318,1538,1333
"69",1339,2206,6459,2199,1332,2214,1347
"70",1346,968,1733,961,1339,976,1354
"71",1359,1519,4080,1512,1352,1527,1367
"72",1382,1545,540,1538,1375,1553,1390
"73",1393,1507,8843,1500,1386,1515,1401
"74",1408,850,15768,843,1401,858,1416
"75",1413,1226,10436,1219,1406,1234,1421
"76",1416,1584,2640,1577,1409,1592,1424
"77",1426,1697,7486,1690,1419,1705,1434
"78",1428,1016,21519,1009,1421,1024,1436
"79",1428,1496,2173,1489,1421,1504,1436
"80",1435,1198,3010,1191,1428,1206,1443
"81",1437,1764,4868,1757,1430,1772,1445
"82",1438,1358,5882,1351,1431,1366,1446
"83",1446,907,1636,900,1439,915,1454
"84",1450,1421,49897,1414,1443,1429,1458
"85",1459,925,31781,918,1452,933,1467
"86",1507,1381,10708,1374,1500,1389,1515
"87",1509,1484,3859,1477,1502,1492,1517
"88",1514,767,1401,760,1507,775,1522
"89",1520,1446,1182,1439,1513,1454,1528
"90",1549,1160,49897,1153,1542,1168,1557
"91",1553,1379,12045,1372,1546,1387,1561
"92",1570,1065,24980,1058,1563,1073,1578
"93",1593,1570,1244,1563,1586,1578,1601
"94",1605,973,5538,966,1598,981,1613
"95",1656,1159,6873,1152,1649,1167,1664
"96",1668,1111,7503,1104,1661,1119,1676
"97",1706,948,2539,941,1699,956,1714
"98",1747,1247,7318,1240,1740,1255,1755
"99",1760,50,50773,43,1753,58,1768
"100",1794,1450,2446,1443,1787,1458,1802
"101",2102,2308,50935,2301,2095,2316,2110
"102",2350,2275,58169,2268,2343,2283,2358
"103",2376,139,12955,132,2369,147,2384
